artifact_id,kind,section,priority,title,path,status,source,note,size_bytes,rows,columns,width,height
Tabel 4.10,table,4.4.1,required,Spesifikasi implementasi arsitektur U-Net dan ProCANet,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_4_1_model_architecture_specs.csv,exists,training/models/unet.py;training/models/procanet.py;training/models/blocks.py;runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/config.json;runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/config.json,,1190,14,3,,
Tabel 4.11,table,4.4.1,required,Hasil verifikasi forward pass model,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_4_1_forward_pass_verification.csv,exists,training/models/unet.py;training/models/procanet.py;tests/test_models.py,,215,2,5,,
Tabel 4.12,table,4.4.2,required,Hasil grid search hyperparameter U-Net dan ProCANet,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_4_2_hyperparameter_tuning_summary.csv,exists,"runs/{unet,procanet}/fold_*/grid_*/metrics.csv",,353,6,7,,
Tabel 4.13,table,4.5,required,Metrik checkpoint terbaik spatial CV pada wilayah uji Aceh Utara,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_5_final_metrics.csv,exists,"runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/metrics.csv;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_probability.tif;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_effective_valid_mask.tif;dataset/labels_unosat_rasterized/Aceh_Utara/label_flood_binary.tif",,374,2,10,,
Tabel 4.14,table,4.5,required,Confusion matrix piksel pada wilayah uji Aceh Utara,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_5_confusion_matrix_pixels.csv,exists,"runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/metrics.csv;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_probability.tif;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_effective_valid_mask.tif;dataset/labels_unosat_rasterized/Aceh_Utara/label_flood_binary.tif",,282,2,9,,
Tabel 4.15,table,4.6,required,Jumlah piksel error map pada tile Aceh_Utara_r001280_c005632,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_6_error_map_tile_counts.csv,exists,"dataset/tiles/7ch/by_region/Aceh_Utara/Aceh_Utara_r001280_c005632.npz;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/predictions/Aceh_Utara/Aceh_Utara_r001280_c005632.npz",,186,2,8,,
Tabel 4.16,table,4.7,required,Metrik analisis sensitivitas modality masking,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_7_modality_masking_metrics.csv,exists,"bab4/evaluation/modality_masking/{modality_metrics.csv,*/eval_test/predictions,provenance.json}",,2676,8,18,,
Tabel 4.17,table,4.7,required,Metrik tambahan Sentinel-2 pada piksel optis valid,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_7_modality_masking_s2_valid_only.csv,exists,"bab4/evaluation/modality_masking/{modality_metrics.csv,*/eval_test/predictions,provenance.json}",,592,2,15,,
Tabel 4.18,table,4.8,required,Kondisi data sulit pada wilayah cross-validation,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_8_difficult_data_case_studies.csv,exists,dataset/tiles/7ch/by_region/*/*.npz;dataset/features_preprocessed/*,,686,10,7,,
Tabel 4.19,table,4.8,required,Contoh tile kondisi ekstrem out-of-fold,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_8_extreme_tile_selection.csv,exists,"runs/oof_extreme_conditions/{micro_metrics.csv,per_region_metrics.csv,selected_tiles.csv,provenance.json}",,354,3,7,,
Tabel 4.20,table,4.8,required,Metrik out-of-fold pada kondisi data ekstrem,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_8_oof_extreme_condition_metrics.csv,exists,"runs/oof_extreme_conditions/{micro_metrics.csv,per_region_metrics.csv,selected_tiles.csv,provenance.json}",,812,6,13,,
Tambahan 4.8,table,4.8,supplementary,Rincian metrik out-of-fold per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_8_oof_extreme_condition_metrics_by_region.csv,exists,"runs/oof_extreme_conditions/{micro_metrics.csv,per_region_metrics.csv,selected_tiles.csv,provenance.json}",,8606,60,17,,
